Id,survive,fruit-shape,fruit-surface,fruit-color,bruises,fruit-odor,seed-spacing,seed-size,seed-color,stem-shape,stem-root,stem-surface-above-peel,stem-surface-below-peel,stem-color-above-peel,stem-color-below-peel,peel-quality,peel-type,spores,population,habitat
186,0,5,0,2,1,5,0,0,5,1,1,2,2,6,7,1,4,2,5,0
187,0,,0,,1,,,,,1,,2,,3,7,,,,,
188,0,2,3,9,1,0,0,0,5,0,4,2,3,7,7,1,4,2,3,1
189,0,2,3,4,1,5,0,0,9,1,1,2,2,6,3,1,4,3,5,0
190,0,2,2,4,0,5,1,0,3,1,3,2,0,7,7,1,0,2,3,1
191,1,5,0,9,0,2,0,0,2,0,1,1,1,6,4,1,2,1,4,0
192,0,5,3,5,1,5,0,0,10,0,0,2,2,2,7,2,0,7,1,6
193,1,,2,,1,,,,,1,,0,,7,7,,,,,
194,1,5,2,3,1,2,0,0,7,1,1,2,2,7,7,1,4,1,3,5
195,0,5,0,4,0,5,1,0,7,1,3,0,2,7,7,1,0,3,3,1
196,0,,0,,1,,,,,1,,2,,6,3,,,,,
197,0,5,0,2,1,5,0,0,5,1,1,2,2,7,7,1,4,2,5,0
198,0,2,3,3,1,5,0,0,5,1,1,2,2,3,3,1,4,3,4,0
199,1,,3,,1,,,,,0,,2,,7,7,,,,,
200,1,5,2,8,0,1,1,1,7,0,1,2,2,7,7,1,4,2,3,0
201,1,2,3,9,0,2,0,0,7,0,1,1,1,0,4,1,2,1,5,4
202,0,2,2,3,0,5,1,0,5,1,3,2,2,7,7,1,0,2,3,1
203,1,5,0,8,0,1,1,1,9,0,1,2,2,7,7,1,4,3,3,0
204,0,2,3,4,1,5,0,0,5,1,1,2,2,6,3,1,4,2,5,0
205,0,,0,,1,,,,,1,,2,,7,7,,,,,
206,0,,0,,0,,,,,1,,0,,7,7,,,,,
207,1,3,0,4,0,5,0,1,10,0,0,1,3,7,4,1,0,7,4,0
208,1,5,2,8,1,2,0,0,3,1,1,0,0,7,7,1,4,1,3,1
209,1,2,2,8,1,5,0,0,8,0,1,2,2,7,7,2,4,5,4,1
210,0,0,3,9,1,0,0,0,2,0,2,2,2,7,7,1,4,2,2,1
211,1,5,3,4,0,7,0,1,0,1,0,2,1,6,7,1,0,7,4,0
212,0,5,0,3,1,5,0,0,10,1,1,2,2,7,7,1,4,2,4,0
213,0,5,3,9,1,3,0,0,10,0,2,2,2,7,7,1,4,2,2,1
214,1,5,2,8,1,2,0,0,7,1,1,2,2,7,7,1,4,1,3,1
215,1,,3,,0,,,,,0,,1,,0,4,,,,,
216,1,2,3,8,1,6,0,1,4,0,3,2,2,7,7,1,4,2,3,1
217,1,5,0,8,0,1,1,1,5,0,1,2,2,7,7,1,4,2,4,0
218,0,5,0,2,1,5,0,0,7,1,1,2,2,6,6,1,4,2,5,0
219,0,,0,,1,,,,,1,,2,,7,7,,,,,
220,0,,2,,0,,,,,1,,2,,7,7,,,,,
221,0,5,0,3,1,5,0,0,10,1,1,2,2,7,3,1,4,3,4,0
222,0,5,0,3,1,5,0,0,9,1,1,2,2,3,7,1,4,3,4,0
223,1,,3,,1,,,,,0,,2,,7,7,,,,,
224,1,2,0,9,0,2,0,0,3,0,1,1,1,4,0,1,2,1,4,0
225,0,2,0,3,1,5,0,0,9,1,1,2,2,7,3,1,4,3,5,0
226,0,,2,,1,,,,,0,,2,,7,7,,,,,
227,0,5,3,5,1,5,0,0,1,0,0,2,2,2,7,2,0,7,1,6
228,1,5,0,3,0,2,0,0,2,0,1,1,1,0,4,1,2,1,5,0
229,0,2,2,8,1,3,1,1,5,1,1,2,2,7,7,1,4,3,4,0
230,0,5,2,9,1,0,0,0,5,0,2,2,2,7,7,1,4,3,2,3
231,1,,0,,0,,,,,0,,1,,0,0,,,,,
232,0,5,3,0,1,5,0,0,1,0,0,2,2,7,7,2,0,7,1,6
233,1,5,0,3,0,1,0,1,5,0,1,2,2,7,7,1,4,2,3,0
234,0,,3,,1,,,,,1,,2,,6,7,,,,,
235,1,5,2,8,1,6,0,1,4,0,3,2,2,7,7,1,4,3,3,1
236,0,5,3,4,1,5,0,0,9,1,1,2,2,7,3,1,4,2,5,0
237,1,5,0,3,0,2,0,0,7,0,1,1,1,4,0,1,2,1,5,0
238,1,,3,,0,,,,,1,,2,,7,7,,,,,
239,0,2,0,3,1,5,0,0,5,1,1,2,2,3,6,1,4,2,4,0
240,1,5,2,4,1,6,0,1,10,0,3,2,2,7,7,1,4,3,3,5
241,0,5,0,8,0,5,1,0,3,1,3,2,0,7,7,1,0,3,3,1
242,0,2,2,3,0,5,1,0,4,1,3,2,2,7,7,1,0,3,0,1
243,1,2,2,8,1,2,0,0,10,1,1,0,0,7,7,1,4,1,3,1
244,0,5,0,3,1,5,0,0,7,1,1,2,2,7,3,1,4,3,5,0
245,0,,0,,0,,,,,1,,2,,7,7,,,,,
246,0,2,3,7,0,5,0,1,10,0,0,2,0,7,7,1,1,1,4,0
247,1,0,0,9,0,5,0,1,10,0,0,1,3,7,4,1,0,7,4,0
248,1,5,2,0,1,2,0,0,7,1,1,0,0,7,7,1,4,1,3,1
249,1,2,0,3,0,2,0,0,3,0,1,1,1,6,0,1,2,1,4,4
250,1,5,3,9,0,2,0,0,7,0,1,1,1,0,0,1,2,1,4,4
251,1,,3,,0,,,,,0,,1,,0,0,,,,,
252,0,0,3,9,1,3,0,0,4,0,2,2,2,7,7,1,4,2,3,1
253,0,5,2,8,1,3,0,0,5,0,2,2,2,7,7,1,4,3,3,1
254,0,2,0,4,1,5,0,0,9,1,1,2,2,7,7,1,4,3,5,0
255,1,5,0,3,0,2,0,0,2,0,1,1,1,4,0,1,2,1,5,1
256,0,2,3,9,1,3,0,0,5,0,4,2,3,7,7,1,4,3,5,4
257,0,0,3,9,1,3,0,0,4,0,2,2,2,7,7,1,4,2,3,3
258,1,5,2,3,0,1,1,1,9,0,1,2,2,7,7,1,4,2,4,0
259,0,2,2,5,1,5,0,0,10,0,0,2,2,2,7,2,0,7,1,6
260,0,,0,,0,,,,,0,,2,,7,7,,,,,
261,0,2,3,3,1,5,0,0,10,1,1,2,2,6,6,1,4,2,4,0
262,0,5,0,8,0,5,1,0,4,1,3,0,2,7,7,1,0,2,3,1
263,0,5,3,2,1,5,0,0,10,1,1,2,2,3,6,1,4,2,4,0
264,0,2,3,2,1,5,0,0,5,1,1,2,2,3,7,1,4,2,4,0
265,0,5,3,4,1,5,0,0,5,1,1,2,2,3,6,1,4,2,5,0
266,0,,0,,1,,,,,1,,2,,7,7,,,,,
267,0,,3,,1,,,,,0,,2,,7,7,,,,,
268,0,5,3,4,1,5,0,0,10,1,1,2,2,7,7,1,4,2,5,0
269,0,2,3,2,1,5,0,0,10,1,1,2,2,6,7,1,4,2,5,0
270,0,5,0,9,1,0,1,1,10,1,1,2,2,7,7,1,4,6,4,0
271,1,5,2,8,0,1,0,1,5,0,1,2,2,7,7,1,4,2,4,0
272,0,,0,,1,,,,,1,,2,,6,3,,,,,
273,0,,0,,0,,,,,1,,0,,7,7,,,,,
274,1,2,2,8,1,2,0,0,10,1,1,2,0,7,7,1,4,1,4,5
275,0,2,0,2,1,5,0,0,7,1,1,2,2,6,3,1,4,3,5,0
276,0,5,3,4,1,5,0,0,7,1,1,2,2,7,7,1,4,3,4,0
277,1,5,0,3,0,2,0,0,2,0,1,1,1,4,4,1,2,1,5,1
278,0,2,3,5,1,5,0,0,10,0,0,2,2,7,2,2,0,7,1,6
279,0,5,3,2,1,5,0,0,9,1,1,2,2,6,7,1,4,2,5,0
280,0,2,0,3,1,5,0,0,7,1,1,2,2,6,7,1,4,3,4,0
281,0,5,0,4,1,5,0,0,9,1,1,2,2,7,6,1,4,3,5,0
282,1,,3,,0,,,,,0,,1,,0,0,,,,,
283,1,5,0,9,0,2,0,0,2,0,1,1,1,6,0,1,2,1,4,4
284,0,5,3,9,1,3,0,0,2,0,2,2,2,7,7,1,4,3,2,3
285,0,5,3,4,1,5,0,0,10,1,1,2,2,6,7,1,4,2,5,0
286,0,,0,,1,,,,,1,,2,,6,3,,,,,
287,0,5,0,3,1,5,0,0,7,1,1,2,2,3,7,1,4,3,5,0
288,1,2,3,9,0,2,0,0,3,0,1,1,1,6,6,1,2,1,5,4
289,0,5,2,9,1,3,0,0,5,0,2,2,2,7,7,1,4,2,3,1
290,1,5,3,2,0,8,0,1,0,1,0,1,1,7,6,1,0,7,4,0
291,0,2,3,2,1,5,0,0,5,1,1,2,2,7,7,1,4,2,4,0
292,0,2,3,3,1,5,0,0,5,1,1,2,2,3,3,1,4,2,4,0
293,0,,2,,0,,,,,1,,2,,7,7,,,,,
294,0,2,0,8,1,3,1,1,5,1,1,2,2,7,7,1,4,3,4,0
295,0,,3,,1,,,,,1,,2,,7,6,,,,,
296,0,,3,,1,,,,,0,,2,,7,7,,,,,
297,0,2,0,8,0,5,1,0,3,1,3,0,2,7,7,1,0,3,3,1
298,1,5,3,4,0,7,0,1,0,1,0,1,1,6,7,1,0,7,4,4
299,1,5,3,9,0,2,0,0,2,0,1,1,1,6,4,1,2,1,5,0
300,0,,3,,1,,,,,0,,2,,7,7,,,,,
301,1,5,0,3,0,2,0,0,7,0,1,1,1,0,4,1,2,1,4,1
302,0,2,0,8,1,3,1,1,7,1,1,2,2,7,7,1,4,6,4,0
303,1,2,3,3,0,2,0,0,2,0,1,1,1,6,0,1,2,1,5,1
304,0,,0,,1,,,,,1,,2,,6,3,,,,,
305,0,2,0,4,1,5,0,0,7,1,1,2,2,6,6,1,4,3,5,0
306,1,2,3,3,0,2,0,0,2,0,1,1,1,6,6,1,2,1,4,4
307,0,,0,,1,,,,,1,,2,,6,3,,,,,
308,0,2,0,3,0,5,1,0,5,1,3,0,0,7,7,1,0,2,3,1
309,0,2,0,4,0,5,1,0,5,1,3,2,0,7,7,1,0,2,0,1
310,1,,3,,0,,,,,0,,1,,4,4,,,,,
311,0,,3,,1,,,,,1,,2,,7,6,,,,,
312,0,5,3,9,1,0,0,0,7,0,4,2,3,7,7,1,4,3,5,4
313,0,2,3,7,0,5,0,1,9,0,0,2,0,7,7,1,1,1,5,0
314,0,5,0,4,0,5,1,0,3,1,3,0,2,7,7,1,0,3,3,1
315,1,2,0,9,0,2,0,0,7,0,1,1,1,0,4,1,2,1,4,0
316,1,,2,,1,,,,,1,,0,,7,7,,,,,
317,1,5,2,3,0,1,1,1,9,0,1,2,2,7,7,1,4,3,3,0
318,0,,0,,0,,,,,1,,2,,7,7,,,,,
319,1,5,3,3,0,2,0,0,7,0,1,1,1,6,0,1,2,1,5,0
320,0,2,0,8,0,5,1,0,4,1,3,0,2,7,7,1,0,3,0,1
321,1,,2,,1,,,,,1,,0,,7,7,,,,,
322,1,,0,,0,,,,,0,,1,,6,4,,,,,
323,0,5,3,3,1,5,0,0,5,1,1,2,2,6,7,1,4,2,4,0
324,0,,3,,1,,,,,1,,2,,3,6,,,,,
325,0,2,3,4,1,3,0,0,5,0,4,2,3,7,7,1,4,2,3,1
326,0,5,3,3,1,5,0,0,7,1,1,2,2,7,3,1,4,2,4,0
327,1,5,0,3,0,2,0,0,7,0,1,1,1,6,0,1,2,1,5,4
328,1,5,0,3,0,2,0,0,3,0,1,1,1,6,0,1,2,1,4,0
329,0,,0,,0,,,,,0,,2,,7,7,,,,,
330,0,,0,,0,,,,,0,,2,,7,7,,,,,
331,0,2,3,3,1,5,0,0,5,1,1,2,2,6,7,1,4,2,5,0
332,1,5,3,4,0,8,0,1,0,1,0,2,2,6,6,1,0,7,4,2
333,0,2,3,2,1,5,0,0,10,1,1,2,2,7,3,1,4,2,5,0
334,1,5,3,4,0,7,0,1,0,1,0,1,2,7,7,1,0,7,4,4
335,0,0,2,9,1,0,0,0,2,0,2,2,2,7,7,1,4,3,3,1
336,1,5,0,3,0,2,0,0,2,0,1,1,1,4,0,1,2,1,5,0
337,0,5,0,4,0,5,1,0,5,1,3,0,0,7,7,1,0,3,3,1
338,0,2,3,2,1,5,0,0,10,1,1,2,2,3,7,1,4,3,4,0
339,1,5,0,9,0,2,0,0,7,0,1,1,1,6,6,1,2,1,4,1
340,0,5,0,3,0,5,1,0,4,1,3,2,2,7,7,1,0,2,0,1
341,0,2,0,8,1,0,1,1,5,1,1,2,2,7,7,1,4,3,4,0
342,0,,3,,1,,,,,1,,2,,7,3,,,,,
343,1,5,3,3,0,2,0,0,3,0,1,1,1,6,4,1,2,1,4,1
344,1,2,0,9,0,2,0,0,3,0,1,1,1,6,6,1,2,1,4,4
345,0,2,0,2,1,5,0,0,7,1,1,2,2,3,7,1,4,3,5,0
346,0,5,3,3,1,5,0,0,5,1,1,2,2,7,6,1,4,2,4,0
347,0,5,2,9,1,0,0,0,2,0,2,2,2,7,7,1,4,2,3,1
348,1,2,2,3,1,2,0,0,10,1,1,2,0,7,7,1,4,1,3,5
349,1,0,3,0,1,5,0,0,10,0,1,2,2,7,7,2,4,5,4,1
350,1,5,2,3,0,1,1,1,2,0,1,2,2,7,7,1,4,2,3,0
351,0,5,3,4,1,5,0,0,7,1,1,2,2,3,3,1,4,2,5,0
352,0,,0,,0,,,,,0,,0,,7,4,,,,,
353,0,,0,,1,,,,,1,,2,,7,7,,,,,
354,1,5,3,9,0,2,0,0,7,0,1,1,1,6,4,1,2,1,5,4
355,1,2,2,8,1,6,0,1,5,0,3,2,2,7,7,1,4,3,4,5
